filename,a,Ne_unit,Te_unit,disk_h,MBH,pow_nth,pow_T,keplerian_factor,fluid_dirction,Rin,Rout,Xcam,Dsource_cm,Dsource_kpc,FOVx_GM/c^2,FOVy_GM/c^2,FOVx_rad,FOVy_rad,FOVx_muas,FOVy_muas,Resolution,scale,imax,jmax,Imax,Iavg,freq,Ftot,unpol_xfer,nuLnu,I,Q,U,V,LP,CP
s6t8llz1lx.h5,0.8573525499219801,2778747.5843870523,153204459110.03595,0.1919029861298124,5245689296.856338,-1.0565493535625237,-0.698750088657031,0.030457331163025514,1.0,1.51473,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,51.899,51.899,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,41,46,0.000633328,7.57313e-06,230000000000.0,0.455685,0.500425,3.53934e+40,0.455685,0.0413927,-0.01025,-0.0135665,9.35799,-2.97716
6exalntldr.h5,0.33218008362533813,11605524.89115159,299210279414.25934,0.3811865559590789,5123525461.241224,-1.1558622214869765,-0.8233038911175563,0.0511637877571427,-1.0,1.94322,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,53.1365,53.1365,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,48,62,0.000634884,0.000100873,230000000000.0,6.06963,6.19542,4.71433e+41,6.06963,0.112764,0.00897383,-0.00742909,1.86371,-0.122398
t6dozev29j.h5,0.41694907429698036,21999844.765785076,616587779997.3029,0.30097777455635055,5737987534.673524,-1.0788493429425297,-0.8293939808079683,0.3957642754413646,1.0,1.90893,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,47.4463,47.4463,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,43,58,0.00151281,0.000744258,230000000000.0,44.7829,44.9858,3.47832e+42,44.7829,0.182101,0.151695,0.20966,0.529234,0.468169
evavdrnap3.h5,-0.7407116891652391,64589251.98747741,28620265128.268196,0.18024190006569205,5275666287.234446,-1.0061513271406508,-0.864476265482562,0.2579002357638718,-1.0,1.67182,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,51.6041,51.6041,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,58,53,8.87171e-05,3.57704e-07,230000000000.0,0.0215235,0.0228732,1.67175e+39,0.0215235,5.96883e-05,-7.22543e-05,-0.000547932,0.43543,-2.54574
glnttrs2dr.h5,0.8014425385500454,62489607.41926287,146808109507.60165,0.184424279026443,7240630257.088575,-1.0405561846486462,-0.6372598455334618,0.7301172333817801,-1.0,1.59807,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,37.5998,37.5998,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,38,53,0.000621746,0.000368912,230000000000.0,22.1979,22.3082,1.72412e+42,22.1979,0.0302487,0.00963071,0.0967049,0.143009,0.435649
5giki5zony.h5,-0.35848856011584596,81964184.72740915,112006846777.5254,0.5994777854263812,6332568521.495273,-1.0836916086905242,-0.924493083250044,0.8459182757086567,-1.0,1.93353,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,42.9914,42.9914,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,37,57,0.000237694,4.91357e-05,230000000000.0,2.95655,2.97382,2.29638e+41,2.95655,0.000773235,0.000375523,0.0212655,0.0290743,0.719266
j05obfmolp.h5,0.9656481226861884,62404491.54979569,789430950142.7483,0.4140009494173932,6262593060.033073,-1.0629250452913377,-0.8980211402019898,0.47796655359857054,-1.0,1.25985,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,43.4718,43.4718,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,44,55,0.00183873,0.00081701,230000000000.0,49.1605,48.4794,3.81833e+42,49.1605,-0.165566,0.0642485,0.000357595,0.361256,0.000727404
vjkgwxw3g3.h5,0.8763336775968991,86893644.35049099,323041255104.12555,0.5216079628294767,5249238578.72415,-1.1060310550092334,-0.84349263811413,0.5556346159294326,-1.0,1.4817,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,51.8639,51.8639,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,45,53,0.000842697,0.000329455,230000000000.0,19.8237,19.7931,1.53972e+42,19.8237,-0.00946966,0.00282474,0.0650148,0.0498493,0.327965
j7kokln6a7.h5,0.9081041823426301,32955174.990082424,395051613821.18335,0.2370637546222811,5061691345.88563,-1.1592102822111088,-0.9295484560636758,0.4734427734017286,1.0,1.41874,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,53.7856,53.7856,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,44,56,0.0009333,0.000187957,230000000000.0,11.3096,11.3853,8.78425e+41,11.3096,0.0547147,0.0357125,0.00861595,0.577724,0.0761827
6860m6n3fe.h5,0.4394787708496446,79450697.52885318,226393294912.06253,0.12981419382748674,5807201541.41351,-1.151251364581616,-0.7697402487404651,0.2552054252493081,-1.0,1.89825,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,46.8808,46.8808,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,43,61,0.000601852,0.000258656,230000000000.0,15.5636,15.6681,1.20884e+42,15.5636,0.0727949,0.00803441,-0.00630952,0.470565,-0.0405401
i6viebtbxj.h5,0.15179798325822613,9213793.404074831,416567642075.3469,0.12456039582802983,6999006992.202952,-1.1355321317882527,-0.7243014831845533,0.5039321377317645,-1.0,1.98841,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,38.8978,38.8978,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,37,60,0.00135359,0.000523541,230000000000.0,31.5021,33.461,2.44679e+42,31.5021,0.5311,-0.395184,-0.420046,2.10143,-1.33339
7trruazu6b.h5,-0.9142530649076406,70046523.83034599,281202734394.7911,0.20419351083736773,7175312900.809549,-1.0110901505808896,-0.7891759349437016,0.017061612355272038,1.0,1.40514,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,37.9421,37.9421,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,53,66,0.000617468,0.00042522,230000000000.0,25.586,25.3538,1.98729e+42,25.586,-0.0404632,-0.00310373,0.00191244,0.15861,0.00747455
ch71u3z6zv.h5,0.31902176531448,88618937.15620454,759558106443.3464,0.13303967563218624,5074559563.9082365,-1.0704740418922496,-0.604171420386265,0.36174524356351745,-1.0,1.94775,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,53.6492,53.6492,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,43,60,0.00276478,0.00176883,230000000000.0,106.433,105.413,8.26671e+42,106.433,-0.129175,0.0517767,0.0513316,0.130754,0.0482292
8wmxdsydo9.h5,0.8621739212030122,3686711.0696328827,892882214718.103,0.3335865568299292,7552624489.052921,-1.1484178436446986,-0.997359869511195,0.8788391067837806,-1.0,1.50661,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,36.0466,36.0466,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,41,53,0.00267599,0.000588964,230000000000.0,35.4387,37.4661,2.75255e+42,35.4387,-0.71972,-0.498754,-1.90459,2.47087,-5.37431
m20s82w5co.h5,-0.2830484278425187,15546875.363135321,835065085752.1599,0.43469378559829464,5030425581.511427,-1.1414044141526822,-0.9165774278362067,0.11976358404557275,-1.0,1.95911,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,54.1199,54.1199,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,50,59,0.00143893,0.000515716,230000000000.0,31.0312,31.278,2.41022e+42,31.0312,0.366741,0.0879674,0.0197008,1.21537,0.0634869
yo8vsnwt4q.h5,-0.11910939367338946,60479789.146118544,594091585601.3613,0.13640713197092494,5348019705.567971,-1.1859586207975443,-0.7165836831677279,0.8455482957508137,-1.0,1.99288,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,50.906,50.906,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,39,54,0.00205779,0.00109254,230000000000.0,65.7392,66.0446,5.10601e+42,65.7392,0.084868,0.0714759,0.19986,0.168783,0.30402
yjxeukxv6s.h5,0.9227850504495447,42286576.33459766,785325929168.2238,0.5389729620701078,5220062436.687274,-1.04122803940243,-0.8999083484670982,0.19137203204817066,-1.0,1.38532,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,52.1538,52.1538,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,46,56,0.00143969,0.000681192,230000000000.0,40.9882,40.3538,3.18358e+42,40.9882,-0.168309,0.00360353,-0.00383485,0.410723,-0.00935599
zroj6u4qhv.h5,-0.07909299856623231,93261644.31328885,440443203246.75256,0.10142717785433816,5157467965.620746,-1.1881191875810067,-0.9755224564827627,0.6120493908246215,-1.0,1.99687,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,52.7868,52.7868,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,41,55,0.000961071,0.000258912,230000000000.0,15.5791,15.7044,1.21004e+42,15.5791,0.0482891,0.0167657,-0.00141722,0.328112,-0.00909694
rs8sjtcq69.h5,0.9011800523514739,26294758.984126236,354627278363.1282,0.5152107335414425,7707886645.336348,-1.1354665686006702,-0.743095012108488,0.48146462245146504,-1.0,1.43344,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,35.3205,35.3205,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,45,62,0.00102235,0.000651422,230000000000.0,39.1968,38.8769,3.04445e+42,39.1968,-0.0803031,0.033825,0.0534134,0.222304,0.13627
mmev7nbfar.h5,0.23900762283142685,46098430.88669068,463908445670.1272,0.2198652776729044,7715064227.435696,-1.1683790501986084,-0.7619995422009014,0.540676517682011,1.0,1.97102,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,35.2876,35.2876,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,38,61,0.00136731,0.000860831,230000000000.0,51.7973,51.3595,4.02313e+42,51.7973,-0.055176,0.106165,0.0582319,0.230992,0.112423
ypeg5ciqij.h5,-0.7520059086936927,2411334.4026464494,407841163261.82855,0.12246779478284117,6638168684.963618,-1.025230604648711,-0.9138363922856068,0.04459916494594829,1.0,1.65916,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,41.0122,41.0122,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,61,52,0.00100312,5.33758e-05,230000000000.0,3.21168,3.79027,2.49454e+41,3.21168,0.280208,-0.0533179,-0.100983,8.88118,-3.14425
3x5fp5q21i.h5,-0.3979857288763561,38700589.67277184,654059194458.6317,0.13456637516252198,7812326772.127076,-1.1509901412074233,-0.9942090125962144,0.4822500759678764,-1.0,1.91739,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,34.8483,34.8483,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,41,62,0.00126171,0.000689934,230000000000.0,41.5142,41.5872,3.22444e+42,41.5142,0.0859814,0.0390592,0.182644,0.227482,0.439957
4k5oeev86t.h5,-0.19310860629099313,99454653.26206867,145375744412.40497,0.39597371193573916,5559609877.03093,-1.1856753598205068,-0.9793875969021528,0.09221040250655432,-1.0,1.98118,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,48.9686,48.9686,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,48,60,0.000229006,3.84917e-05,230000000000.0,2.31609,2.32136,1.79892e+41,2.31609,0.000522134,0.000579062,-0.00099124,0.0336646,-0.042798
3nyyxnxx57.h5,0.29542806633625385,90914401.96965416,342956764524.6797,0.1433023272314811,6641794030.741896,-1.1908534647410913,-0.6534394233476264,0.5253623768249497,1.0,1.95536,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,40.9899,40.9899,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,39,59,0.00123796,0.000804834,230000000000.0,48.4279,48.1039,3.76143e+42,48.4279,-0.0332785,0.0522034,0.0220577,0.127836,0.0455475
uf6py87k47.h5,-0.853925642313488,93101361.4584092,56864014433.66529,0.39703049377594823,5705288843.49696,-1.0091598209232044,-0.8604270027051111,0.5177039231907609,1.0,1.5204,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,47.7182,47.7182,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,42,63,0.000130393,1.29981e-05,230000000000.0,0.782115,0.79267,6.07474e+40,0.782115,0.000235329,-0.00015598,0.00671496,0.0360981,0.858565
7g607b6by5.h5,0.8195820601350845,88415594.10580607,150293583610.43607,0.4820263306219681,6782096687.89539,-1.1560882332049873,-0.6110277577241953,0.3132070236378699,-1.0,1.57296,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,40.1419,40.1419,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,44,61,0.000479968,0.000355085,230000000000.0,21.3659,21.2244,1.6595e+42,21.3659,-0.0119596,-0.00871805,-0.013476,0.0692689,-0.0630725
8gq7hrs3yn.h5,-0.16824136282702074,32892857.417304,499992901311.2066,0.41129920763204886,5876526102.231655,-1.0092071336258939,-0.9365668592328407,0.8670703610590587,-1.0,1.98575,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,46.3277,46.3277,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,39,54,0.00110495,0.000449822,230000000000.0,27.0663,27.1644,2.10226e+42,27.0663,-0.0115085,0.0434261,0.218261,0.165982,0.806393
1h6r4cr7fb.h5,-0.5116883008840383,44785195.75002456,839497860745.3624,0.2860805700691683,6841218094.046635,-1.0632767091500968,-0.8862429710414732,0.674927195268023,1.0,1.85917,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,39.795,39.795,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,43,61,0.00184322,0.0010329,230000000000.0,62.1511,61.4858,4.82732e+42,62.1511,-0.105268,0.190383,0.099912,0.35003,0.160757
lipmaqt82v.h5,-0.6081257102264306,82905732.68462394,34275447192.324604,0.40067344211219535,5860499338.881393,-1.041633698722626,-0.8820254854366942,0.8810160746213826,-1.0,1.79384,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,46.4544,46.4544,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,41,41,9.81614e-05,1.53059e-06,230000000000.0,0.0920972,0.0967259,7.15326e+39,0.0920972,9.83755e-05,-7.75385e-05,-0.00143064,0.136008,-1.5534
