filename,a,thetacam,Ne_unit,Te_unit,disk_h,MBH,pow_nth,pow_T,keplerian_factor,fluid_dirction,Rin,Rout,Xcam,Dsource_cm,Dsource_kpc,FOVx_GM/c^2,FOVy_GM/c^2,FOVx_rad,FOVy_rad,FOVx_muas,FOVy_muas,Resolution,scale,imax,jmax,Imax,Iavg,freq,Ftot,unpol_xfer,nuLnu,I,Q,U,V,LP,CP
gdavkpvixp.h5,-0.9081192014867094,70.74512409482813,2473426.0578691075,113316078250.62576,0.5674487756002426,6862864766.894112,-1.1053420739235535,-0.9917325162806572,0.9043735765170586,-1.0,1.41871,300.0,"0.000000e+00,6.907755e+00,3.930285e-01,0.000000e+00",5.18394e+25,16800.0,39.6695,39.6695,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,182,138,0.000637444,9.27848e-06,230000000000.0,0.558297,0.562769,4.33634e+40,0.558297,0.000291355,-0.000447643,-0.00334663,0.0956674,-0.599435
ulnk3gn3xt.h5,-0.7985429162566017,171.67640601027261,106613.68662240788,926224251255.4753,0.4004585253462084,6494599026.295308,-1.1662773124945958,-0.7133736089138814,0.6158113828448971,1.0,1.60194,300.0,"0.000000e+00,6.907755e+00,9.537578e-01,0.000000e+00",5.18394e+25,16800.0,41.9189,41.9189,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,121,149,0.00041431,8.90922e-06,230000000000.0,0.536079,0.537623,4.16376e+40,0.536079,0.000634469,0.000682917,-0.00192814,0.173885,-0.359676
xwr4j8iyix.h5,0.27331502621539405,113.70269538953765,338679.6595476825,354159723185.7056,0.39615635758665735,6939297129.045485,-1.0794727744691341,-0.7870839020656879,0.7117593797485061,-1.0,1.96192,300.0,"0.000000e+00,6.907755e+00,6.316816e-01,0.000000e+00",5.18394e+25,16800.0,39.2325,39.2325,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,202,177,0.00140472,9.41144e-06,230000000000.0,0.566298,0.603035,4.39848e+40,0.566298,0.0706871,-0.0937604,0.0167013,20.7348,2.94921
dt73jmftrk.h5,-0.5973968314387974,40.221866094301014,251230.87281081427,490530909968.7108,0.4685160743379737,6358415954.244352,-1.157271329866709,-0.7338594553959514,0.9706437821083639,1.0,1.80195,300.0,"0.000000e+00,6.907755e+00,2.234548e-01,0.000000e+00",5.18394e+25,16800.0,42.8167,42.8167,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,116,165,0.0012888,9.54616e-06,230000000000.0,0.574404,0.600309,4.46144e+40,0.574404,-0.0649933,-0.082619,-0.0147862,18.3006,-2.57418
0flppfq631.h5,0.5344261711907095,53.77108676441461,491307.35462487076,473246350325.8952,0.4700600503996354,6446742884.035421,-1.1527883906783598,-0.9547355109811471,0.22994192166778293,-1.0,1.84522,300.0,"0.000000e+00,6.907755e+00,2.987283e-01,0.000000e+00",5.18394e+25,16800.0,42.23,42.23,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,186,193,0.000788125,9.79872e-06,230000000000.0,0.589601,0.623118,4.57947e+40,0.589601,0.0507967,-0.0264881,-0.00778708,9.71641,-1.32074
rejay4ufkj.h5,0.7546674318346054,7.475734142489204,257363.8378860852,965658537619.8704,0.12229225788858064,5728602591.346885,-1.1557387380775794,-0.7723066862200036,0.8476172828800747,-1.0,1.65611,300.0,"0.000000e+00,6.907755e+00,4.153186e-02,0.000000e+00",5.18394e+25,16800.0,47.524,47.524,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,186,137,0.000443168,9.66757e-06,230000000000.0,0.58171,0.58444,4.51818e+40,0.58171,-0.000757971,0.00146912,-0.00294392,0.284184,-0.50608
txa8r09ndt.h5,0.3385711702577785,164.16055562931393,160241.14422475788,940867107554.9609,0.19848472654330054,7739847186.026197,-1.1337823453855196,-0.9716827840728121,0.785094702226299,-1.0,1.94094,300.0,"0.000000e+00,6.907755e+00,9.120031e-01,0.000000e+00",5.18394e+25,16800.0,35.1746,35.1746,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,208,162,0.000425638,5.94375e-06,230000000000.0,0.357643,0.359973,2.77784e+40,0.357643,-0.00651404,-0.00592905,-0.0019844,2.46288,-0.554856
47cel6aimu.h5,-0.35796398294437015,88.04140466932336,1197704.7087918737,257674084312.0805,0.5322016429199797,5489255095.028049,-1.0352393054163835,-0.9440814798644224,0.6028752146188885,1.0,1.93374,300.0,"0.000000e+00,6.907755e+00,4.891189e-01,0.000000e+00",5.18394e+25,16800.0,49.5962,49.5962,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,122,152,0.000821166,8.88854e-06,230000000000.0,0.534835,0.570974,4.1541e+40,0.534835,-0.000230248,1.25012e-05,0.0113665,0.0431137,2.12523
e4n7qv0kkf.h5,-0.029303986961610184,143.9609579172688,119425.1913193119,910392181896.3362,0.594313369193085,5692512341.227896,-1.049357268057497,-0.8088203751312559,0.07921452601223722,1.0,1.99957,300.0,"0.000000e+00,6.907755e+00,7.997831e-01,0.000000e+00",5.18394e+25,16800.0,47.8253,47.8253,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,132,138,0.000672254,8.92221e-06,230000000000.0,0.53686,0.543622,4.16983e+40,0.53686,0.0376234,0.00106701,0.000316829,7.01086,0.0590152
0s7u08m795.h5,0.8397534606973172,113.20455592810916,254087.42219631516,494224598903.11487,0.5408483712787887,6179776826.2608795,-1.0491175737832057,-0.8961913670206484,0.11484429134023022,1.0,1.54297,300.0,"0.000000e+00,6.907755e+00,6.289142e-01,0.000000e+00",5.18394e+25,16800.0,44.0544,44.0544,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,136,150,0.00143795,9.17716e-06,230000000000.0,0.552201,0.580848,4.28899e+40,0.552201,0.0360773,-0.00782915,0.00532008,6.68543,0.963432
tzssm5y5er.h5,0.3761860722784103,111.31790764215103,304749.50972507737,722644671520.7056,0.3785133183855406,5596422866.45748,-1.164450396692435,-0.9525850537498369,0.5043107494776302,-1.0,1.92654,300.0,"0.000000e+00,6.907755e+00,6.184328e-01,0.000000e+00",5.18394e+25,16800.0,48.6465,48.6465,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,196,148,0.00194195,9.71338e-06,230000000000.0,0.584466,0.611867,4.53959e+40,0.584466,0.134039,-0.0721969,0.00303654,26.0488,0.51954
d3tj5qr2ly.h5,0.9715934389200931,135.23235512149225,550000.0,5805299070.805049,0.3883939675399992,5520910831.488445,-1.0888201509144642,-0.9040158564465075,0.11775744129134513,-1.0,1.23666,300.0,"0.000000e+00,6.907755e+00,7.512909e-01,0.000000e+00",5.18394e+25,16800.0,49.3118,49.3118,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,140,168,1.83025e-32,7.11416e-37,230000000000.0,4.28068e-32,8.15563e-32,3324830000.0,4.28068e-32,-2.14085e-34,-8.16428e-35,-1.96597e-34,0.535252,-0.459266
1b0cut4rmt.h5,-0.1477852466357399,149.98023507187932,346663.47598832444,533831200685.60333,0.41547291135947195,5898560556.7316885,-1.0483543831702018,-0.8946806315507028,0.24170353831114122,-1.0,1.98902,300.0,"0.000000e+00,6.907755e+00,8.332235e-01,0.000000e+00",5.18394e+25,16800.0,46.1547,46.1547,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,194,154,0.000944487,9.81822e-06,230000000000.0,0.590774,0.629446,4.58859e+40,0.590774,0.0383338,-0.0276667,-0.00919643,8.0022,-1.55667
7cvimi1x8j.h5,-0.3322268226347783,156.8402824148491,2211260.5221908432,157401578755.04483,0.3141114295735864,5442858737.728547,-1.0139501660801495,-0.7682198924934172,0.6217398304944481,-1.0,1.9432,300.0,"0.000000e+00,6.907755e+00,8.713349e-01,0.000000e+00",5.18394e+25,16800.0,50.019,50.019,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,178,187,0.000546611,9.50077e-06,230000000000.0,0.571673,0.597495,4.44023e+40,0.571673,-0.0246766,-0.0155587,-0.0806732,5.10292,-14.1118
szxzaqg2lt.h5,-0.5258028462371311,27.737765104577733,370716.0126978202,510577632640.7411,0.18180717393192206,6126689371.822767,-1.0048529202572691,-0.9086707223418291,0.6233286826061029,-1.0,1.85061,300.0,"0.000000e+00,6.907755e+00,1.540987e-01,0.000000e+00",5.18394e+25,16800.0,44.4361,44.4361,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,193,165,0.000961096,9.66156e-06,230000000000.0,0.581348,0.619894,4.51537e+40,0.581348,-0.0061195,0.000636925,0.0025929,1.05833,0.446015
