filename,a,thetacam,Ne_unit,Te_unit,disk_h,MBH,pow_nth,pow_T,keplerian_factor,fluid_dirction,rotcam,xoff,yoff,Rin,Rout,Xcam,Dsource_cm,Dsource_kpc,FOVx_GM/c^2,FOVy_GM/c^2,FOVx_rad,FOVy_rad,FOVx_muas,FOVy_muas,Resolution,scale,imax,jmax,Imax,Iavg,freq,Ftot,unpol_xfer,nuLnu,I,Q,U,V,LP,CP
v0tlrlcqp3.h5,-0.30091789200565955,172.27740452048062,583147.7807841118,889888901786.3776,0.16734370770001228,2019877212.412573,-0.9114618414522475,-0.723827963460034,0.45914319486789523,1.0,176.63204273810607,17.089756304040087,-16.7153525860898,1.95365,300.0,"0.000000e+00,6.907755e+00,9.570967e-01,0.000000e+00",5.18394e+25,16800.0,134.784,134.784,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,154,182,0.0015094,9.50656e-06,230000000000.0,0.572021,0.600348,4.44293e+40,0.572021,0.00210602,-2.43087e-05,-0.00213457,0.368197,-0.373164
mnehesxcu5.h5,0.736359892382654,96.36857279180404,103640.55713291862,547813879942.2436,0.7492933907340722,9778252740.853436,-1.1485976369536606,-0.7151980362528967,0.31783109433733137,-1.0,225.90085414281285,-11.51660025592929,29.733744775084233,1.67659,300.0,"0.000000e+00,6.907755e+00,5.353810e-01,0.000000e+00",5.18394e+25,16800.0,27.842,27.842,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,143,198,0.000463652,9.94912e-06,230000000000.0,0.598651,0.603268,4.64977e+40,0.598651,-0.0185702,-0.194876,0.000315414,32.7,0.0526874
d1i3gb6gvy.h5,-0.8183335016345274,125.63976419608284,538625.0789547495,280193621028.49615,0.2728658673529001,6434096003.055212,-0.9466617508797819,-0.7243160481360498,0.451661585521388,1.0,144.88022756798387,-2.375086696688548,-13.717931724566817,1.57474,300.0,"0.000000e+00,6.907755e+00,6.979987e-01,0.000000e+00",5.18394e+25,16800.0,42.313,42.313,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,191,211,0.00075894,9.52776e-06,230000000000.0,0.573297,0.603974,4.45284e+40,0.573297,0.0912812,0.0227694,0.00192898,16.41,0.336471
l4vdadu92j.h5,0.0819613424478689,17.100294902267876,5854664.307094159,321250130927.684,0.6999115798677966,2550031588.057655,-1.224087472623775,-0.9956797619284479,0.515044407306815,-1.0,35.142841684670685,1.306660567556726,-2.4129961919956173,1.99664,300.0,"0.000000e+00,6.907755e+00,9.500164e-02,0.000000e+00",5.18394e+25,16800.0,106.762,106.762,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,173,155,0.000639095,9.43608e-06,230000000000.0,0.56778,0.598443,4.40999e+40,0.56778,-0.00978583,-0.0101125,-0.0261037,2.47845,-4.59749
dg0e5ud933.h5,0.26797249755893704,20.19335768358428,734221.7977213835,197748842278.7487,0.34535605383735984,9498689023.204552,-1.1826060668468896,-0.6504878439705873,0.7330284203094682,-1.0,343.38872252246324,-7.858987631620181,18.546270714809296,1.96343,300.0,"0.000000e+00,6.907755e+00,1.121853e-01,0.000000e+00",5.18394e+25,16800.0,28.6614,28.6614,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,227,144,0.000557116,9.76064e-06,230000000000.0,0.58731,0.605263,4.56168e+40,0.58731,-0.0524631,-0.0177655,-0.12584,9.43104,-21.4265
5xfx2fomel.h5,0.6433055932569507,57.81809771384054,189814.83016284052,927784182077.7506,0.6915416467879554,4770081635.378899,-1.3140670712511222,-1.0793621349746338,0.8764658680080057,1.0,155.08579232552648,20.599671135783943,0.3607182031707339,1.76561,300.0,"0.000000e+00,6.907755e+00,3.212117e-01,0.000000e+00",5.18394e+25,16800.0,57.0737,57.0737,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,159,168,0.00415116,9.04241e-06,230000000000.0,0.544093,0.576443,4.22601e+40,0.544093,0.0725682,-0.0256128,-0.0100391,14.1438,-1.8451
2rhbwp1b8n.h5,-0.3234661205876309,35.68152661324893,75335.64434073142,770323811329.3193,0.4519410809633654,9219018822.170883,-0.9947577913643872,-0.7945061162312839,0.360292199900049,1.0,29.697763593278395,13.542427368756286,26.172717709243628,1.94624,300.0,"0.000000e+00,6.907755e+00,1.982307e-01,0.000000e+00",5.18394e+25,16800.0,29.5309,29.5309,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,97,168,0.00046643,9.98279e-06,230000000000.0,0.600677,0.603639,4.6655e+40,0.600677,0.00394583,-0.036994,-0.00203876,6.19364,-0.339411
uflhhc2f8v.h5,0.28094338341180936,41.259634809924776,166047.44312186647,565774774262.1583,0.3507548444704929,6409245243.528546,-0.9696503241415946,-0.7702370992644803,0.931654587024205,-1.0,77.34451248994135,30.101331002967086,-20.425333120098323,1.95972,300.0,"0.000000e+00,6.907755e+00,2.292202e-01,0.000000e+00",5.18394e+25,16800.0,42.4771,42.4771,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,140,139,0.00105028,9.6235e-06,230000000000.0,0.579058,0.600995,4.49759e+40,0.579058,0.0651136,-0.0137092,0.00743679,11.4913,1.28429
u6zkdygcqw.h5,-0.1367544839850432,29.777774888368086,313902.13187261496,800120064389.7372,0.5816492328478468,3229090604.4913487,-0.9651493340253153,-0.8570878865793121,0.2501010677172476,1.0,338.43587648901416,28.548251391337153,16.73398373991136,1.9906,300.0,"0.000000e+00,6.907755e+00,1.654321e-01,0.000000e+00",5.18394e+25,16800.0,84.3105,84.3105,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,111,137,0.00130564,9.33555e-06,230000000000.0,0.561731,0.602254,4.36301e+40,0.561731,0.0328446,0.0171913,-0.00362675,6.59954,-0.645638
3cnjwgtcj5.h5,0.16302534895949372,63.898599630243375,10755112.43849291,425209905179.6439,0.13130885301365514,2474662858.12704,-1.321234771802851,-1.0423672102739758,0.9191574405892043,1.0,170.58812509359464,-7.232032775870238,16.742775762529412,1.98662,300.0,"0.000000e+00,6.907755e+00,3.549922e-01,0.000000e+00",5.18394e+25,16800.0,110.013,110.013,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,182,139,0.00159478,9.93705e-06,230000000000.0,0.597925,0.606537,4.64413e+40,0.597925,0.00149052,0.00500412,-0.00916979,0.873251,-1.5336
